condition,brain_ID,starter_X,starter_Y
Ta1 Cre-ON,CBLK1870_1C,850.726,273.67872227599355
Ta1 Cre-ON,CBLK1870_1C,1153.18,328.68770547316535
Ta1 Cre-ON,CBLK1870_1C,896.9840000000002,433.87593769880306
Ta1 Cre-ON,CBLK1870_1C,959.847,389.93565047028545
Ta1 Cre-ON,CBLK1870_1C,971.1140000000001,422.348785919015
Ta1 Cre-ON,CBLK1870_1C,1073.119,412.1579981691923
Ta1 Cre-ON,CBLK1870_1C,1076.0840000000003,373.55144685850286
Ta1 Cre-ON,CBLK1870_1C,939.6830000000002,389.20825823050234
Ta1 Cre-ON,CBLK1870_1C,823.0500000000002,278.9065651446045
Ta1 Cre-ON,CBLK1870_1C,827.004,231.77960636346015
Ta1 Cre-ON,CBLK1870_1C,738.442,220.33701807242636
Ta1 Cre-ON,CBLK1870_1C,600.065,291.5555530202111
Ta1 Cre-ON,CBLK1870_1C,690.9990000000001,380.49357739572247
Ta1 Cre-ON,CBLK1870_1C,631.694,247.7126052223745
Ta1 Cre-ON,CBLK1870_1C,298.797,329.82752922270095
Ta1 Cre-ON,CBLK1870_1C,372.33500000000004,292.71839689038524
Ta1 Cre-ON,CBLK1870_1C,313.821,314.5404634396417
Ta1 Cre-ON,CBLK1870_1C,427.686,369.0352756149991
Ta1 Cre-ON,CBLK1870_1C,421.36,236.72862377235836
Ta1 Cre-ON,CBLK1870_1C,508.34,322.65698273203884
Ta1 Cre-ON,CBLK1870_1C,674.393,300.0932200571594
Ta1 Cre-ON,CBLK1870_1C,564.8770000000001,323.59175708374806
Ta1 Cre-ON,CBLK1870_1C,498.456,337.0995367430732
Ta1 Cre-ON,CBLK1870_1C,446.564,357.9409824374097
Ta1 Cre-ON,CBLK1870_1C,729.744,354.89409701291146
Ta1 Cre-ON,CBLK1870_1C,870.4939999999999,354.4496666647232
Ta1 Cre-ON,CBLK1870_1C,54.56,309.90305898705054
Ta1 Cre-ON,CBLK1870_1C,92.219,356.50699258528005
Ta1 Cre-ON,CBLK1870_1C,239.29399999999998,361.6149029188599
Ta1 Cre-ON,CBLK1870_1C,379.254,381.5299560871182
Ta1 Cre-ON,CBLK1870_1C,364.2300000000001,327.192459917567
Ta1 Cre-ON,CBLK1870_1C,533.446,391.5272363082304
Ta1 Cre-ON,CBLK1870_1C,114.35900000000001,198.6073355125056
Ta1 Cre-ON,CBLK1870_1C,130.965,285.82812845608703
Ta1 Cre-ON,CBLK1870_1C,631.496,228.8349521317317
Ta1 Cre-ON,CBLK1870_1C,742.198,323.42902549760475
Ta1 Cre-ON,CBLK1870_1C,727.174,349.7715015528897
Ta1 Cre-ON,CBLK1870_1C,867.134,325.4258982776495
Ta1 Cre-ON,CBLK1870_1C,79.567,382.3634294988862
Ta1 Cre-ON,CBLK1870_1C,312.042,371.1426093910184
Ta1 Cre-ON,CBLK1870_1C,790.433,270.56336135099195
Ta1 Cre-ON,CBLK1870_1C,461.489,388.3737519479059
Ta1 Cre-ON,CBLK1870_1C,464.652,289.0672496722919
Ta1 Cre-ON,CBLK1870_1C,890.065,363.1313972697127
Ta1 Cre-ON,CBLK1870_1C,240.085,335.68000677113
Ta1 Cre-ON,CBLK1870_1C,259.063,290.388798039466
Ta1 Cre-ON,CBLK1870_1C,172.873,397.8791906119706
Ta1 Cre-ON,CBLK1870_1C,103.28900000000002,406.0776094218014
Ta1 Cre-ON,CBLK1870_1C,171.292,273.3701792200139
Ta1 Cre-ON,CBLK1870_1C,186.316,375.6354174024249
Ta1 Cre-ON,CBLK1870_1C,293.855,449.4353715183002
Ta1 Cre-ON,CBLK1870_1C,612.519,402.95945955513014
Ta1 Cre-ON,CBLK1870_1C,392.696,160.38297869908357
Ta1 Cre-ON,CBLK1870_1C,670.2420000000001,206.6903107343401
Ta1 Cre-ON,CBLK1870_1C,493.90900000000005,437.36346608624314
Ta1 Cre-ON,CBLK1870_1C,274.087,320.9091329306087
Ta1 Cre-ON,CBLK1870_1C,443.303,285.203898982256
Ta1 Cre-ON,CBLK1870_1C,17.889999999999997,315.75206451024064
Ta1 Cre-ON,CBLK1870_1C,988.3129999999999,285.65678372955205
Ta1 Cre-ON,CBLK1870_1C,1062.641,214.0364967984588
Ta1 Cre-ON,CBLK1870_1C,1125.109,165.97103460724577
Ta1 Cre-ON,CBLK1870_1C,1378.143,232.3626753272304
Ta1 Cre-ON,CBLK1870_1C,551.83,379.5308233130816
Ta1 Cre-ON,CBLK1870_1C,575.552,339.805325269544
Ta1 Cre-ON,CBLK1870_1C,532.853,361.63448709153647
Ta1 Cre-ON,CBLK1870_1C,524.155,326.1976811997243
Ta1 Cre-ON,CBLK1870_1C,667.2770000000002,418.7673862711849
Ta1 Cre-ON,CBLK1870_1C,639.601,358.14026064606816
Ta1 Cre-ON,CBLK1870_1C,125.72600000000001,459.9608143635411
